county_cas_data,county,state,FIPS,GISJOIN
Campbell,Campbell,Virginia,51031,G5100310
Scott,Scott,Minnesota,27139,G2701390
Troup,Troup,Georgia,13285,G1302850
Murray,Murray,Georgia,13213,G1302130
Poinsett,Poinsett,Arkansas,05111,G0501110
Cross,Cross,Arkansas,05037,G0500370
District Of Columbia,District of Columbia,District Of Columbia,11001,G1100010
Wicomico,Wicomico,Maryland,24045,G2400450
Lee,Lee,Virginia,51105,G5101050
Chesterfield,Chesterfield,Virginia,51041,G5100410
Alpine,Alpine,California,06003,G0600030
Putnam,Putnam,Tennessee,47141,G4701410
Burke,Burke,North Carolina,37023,G3700230
Montgomery,Montgomery,Ohio,39113,G3901130
Essex,Essex,Massachusetts,25009,G2500090
Chippewa,Chippewa,Minnesota,27023,G2700230
Floyd,Floyd,Indiana,18043,G1800430
Clinton,Clinton,Iowa,19045,G1900450
Porter,Porter,Indiana,18127,G1801270
Muskegon,Muskegon,Michigan,26121,G2601210
Limestone,Limestone,Texas,48293,G4802930
Montgomery,Montgomery,Alabama,01101,G0101010
Kent,Kent,Michigan,26081,G2600810
Washington,Washington,New York,36115,G3601150
Edgefield,Edgefield,South Carolina,45037,G4500370
Allen,Allen,Indiana,18003,G1800030
Penobscot,Penobscot,Maine,23019,G2300190
Hillsdale,Hillsdale,Michigan,26059,G2600590
Norman,Norman,Minnesota,27107,G2701070
Lyon,Lyon,Minnesota,27083,G2700830
Falls Church (city),Falls Church (ic),Virginia,51610,G5106100
Calhoun,Calhoun,Alabama,01015,G0100150
Hocking,Hocking,Ohio,39073,G3900730
Dauphin,Dauphin,Pennsylvania,42043,G4200430
Richland,Richland,Wisconsin,55103,G5501030
Jackson,Jackson,Michigan,26075,G2600750
Washington,Washington,Maryland,24043,G2400430
Greene,Greene,Georgia,13133,G1301330
Onondaga,Onondaga,New York,36067,G3600670
Hancock,Hancock,West Virginia,54029,G5400290
Burlington,Burlington,New Jersey,34005,G3400050
De Kalb,De Kalb,Indiana,18033,G1800330
Upson,Upson,Georgia,13293,G1302930
Westmoreland,Westmoreland,Virginia,51193,G5101930
Lamar,Lamar,Texas,48277,G4802770
Norfolk (city),Norfolk (ic),Virginia,51710,G5107100
Chambers,Chambers,Alabama,01017,G0100170
Franklin,Franklin,Illinois,17055,G1700550
Tioga,Tioga,Pennsylvania,42117,G4201170
Kent,Kent,Rhode Island,44003,G4400030
Willacy,Willacy,Texas,48489,G4804890
Fairfield,Fairfield,Connecticut,09001,G0900010
Bernalillo,Bernalillo,New Mexico,35001,G3500010
Lorain,Lorain,Ohio,39093,G3900930
Coshocton,Coshocton,Ohio,39031,G3900310
Livingston,Livingston,New York,36051,G3600510
Lake,Lake,California,06033,G0600330
Cibola,Cibola,New Mexico,35006,G3500060
